,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
UgxeuMIbTsGsSgF8H-R4AaABAg,Witchy,16 hours ago,1513134076927,She should have farted on him.,1,false,0,,,,,,,/Negative/,Negative,0.928
UgynHz8I_C7qyLh0OwB4AaABAg,bamajap bama,2 weeks ago,1511982076931,I think shes mad dont no body wanna grab hers,0,false,0,,,,,,,/Negative/,Negative,0.961
UgxVutCsDdpID-fAgZp4AaABAg,Lisa Rivera,3 weeks ago,1511377276933,is this guy seriously protecting this douchebag? he just needed to not talk because the more he talks the deeper he shoves his foot down his throat.  what is is saying. ...what's wrong with him.....How about respect for all woman and older people know better .In what time was it ok to do this to any woman? what planet are these people from. This is the problem. ..they are the reason why these perverts get away with it. when media covers their assess and doesn't report the real news smh they should be embarrassed at this entire show .Especially when the topic is such a sensitive one...They should stick with simple things like what the Justin eat tonight and that is it. anyone think that this show just sucks and disrespected a lot of people with this show?,0,false,0,,,,,,,/Negative/,Negative,0.918
UgzxeJJh2U-FRqK_MuZ4AaABAg,Warchief TTT,3 weeks ago,1511377276936,"its not a thing of age its all about how you understand life some feel woman are sexual objects and with power you dont see no evil cause evil its a point of vier, plus when girls who have sex with many guys you call them sluts but if a guy does it its cool",0,false,0,,,,,,,/Positive/,Positive,0.521
UgwPKXkq4Nt6yBuCkV14AaABAg,Houston Muhammad,3 weeks ago,1511377276938,Cenk is just another twisted smart guy or just another deep cover Mossad agent. Bush doing what he did in the open is not a sign that he doesn't realize what he did is wrong. It's a sign of megalomania.,0,false,0,,,,,,,/Negative/,Negative,0.949
Ugzv9_EaGBYunkvhmT54AaABAg,Peter Simon,3 weeks ago,1511377276941,The bottom line is that Cenk is waisting our time by talking in this video. We don't care what's going on in H W Bush's mind and we care even less what Cenk is thinking about what is Bush thinking while he is violating other human beings on a very personal level.,1,false,0,,,,,,,/Negative/,Negative,0.877
UgwOqZ-9AsMoq9p2brF4AaABAg,TCt83067695,3 weeks ago,1511377276943,"It's funny these presidents wont be brought down for their war crimes but instead for copping a feel. 
Just saying",6,false,0,,,,,,,/Positive/,Positive,0.49
UgzbIaiLp4N_RwTv9tt4AaABAg,quietman356 123455,3 weeks ago,1511377276946,Damn . Who would ve thought ol ' Poppy Bush was a groper .,2,false,0,,,,,,,/Neutral/,Neutral,0.906
UgytdBryPOGE_o9aFT54AaABAg,Vance Stone,3 weeks ago,1511377276948,"teenage girls are hot lets be real
pinch dem cheeks",0,true,2,,,,,,,/Positive/,Positive,0.959
,,,,,,,,UgytdBryPOGE_o9aFT54AaABAg.8_5CzfsCiOB8_6beA8EsXJ,TCt83067695,3 weeks ago,1511377277304,Vance Stone wtf?,0,/Neutral/,Neutral,0.5
,,,,,,,,UgytdBryPOGE_o9aFT54AaABAg.8_5CzfsCiOB8_BRf0VPtPO,dustigenes,3 weeks ago,1511377277306,Vance Stone thinks it's cute to be part of the problem.,1,/Positive/,Positive,0.479
Ugw6RocslyU9XYU0ahp4AaABAg,ToughSlr,3 weeks ago,1511377276952,"As punishment he should be strapped in his wheelchair for 30 days without a diaper change or a drool wiping. Give him time to forget about ""David Cop-A-Feel.",1,false,0,,,,,,,/Negative/,Negative,0.438
UgzREJTmylEmDlN25et4AaABAg,theycallmemrshaggs,3 weeks ago,1511377276956,Pics or gtfo.,0,false,0,,,,,,,/Neutral/,Neutral,0.941
UgxF1euM7cd_6hTXC6l4AaABAg,Paul Skinner,3 weeks ago,1511377276959,How about one of you ladies grab George's ass. He's too old to get away. Of course he'd probably like it.,0,false,0,,,,,,,/Negative/,Negative,0.869
Ugz9hwOGgn0O0NYEWhV4AaABAg,Paul Skinner,3 weeks ago,1511377276961,"C'mon, the old man needs some tail!",0,false,0,,,,,,,/Negative/,Negative,0.943
Ugy4_OBitONddtKdp1Z4AaABAg,Scott Green,3 weeks ago,1511377276964,"He knowingly caused a lot of harm to people in/from Iraq (sanctions!) and Panama (invasion!), not to mention all he did as VP.",1,false,0,,,,,,,/Positive/,Positive,0.496
Ugx3D7gxFnP86vfyHoR4AaABAg,Velha Guarda Tricolor,3 weeks ago,1511377276966,"He is White, Powerful and a former President. He can GROPE anyone he wants and nothing is ever going to happen.",1,false,0,,,,,,,/Negative/,Negative,0.592
UgxzFSjGY0HNGiSsaip4AaABAg,Waranish,3 weeks ago,1511377276970,Cenk is sick,0,true,1,,,,,,,/Negative/,Negative,1
,,,,,,,,UgxzFSjGY0HNGiSsaip4AaABAg.8_47qngE_Z_8_6bnDKMETD,TCt83067695,3 weeks ago,1511377277391,"Waranish it's cause he voted for him back then. 
Remember he used to be a republican",0,/Positive/,Positive,0.516
UgyoCAzUGGWRJz-_e2p4AaABAg,1992girlll,3 weeks ago,1511377276973,To be honest. It is kinda creepy if a man that age does it. But calling it sexual assault? That is a bit to far. By the way if a woman does this by a guy. And the guy clames it is sexual assault everybody will laugh in his face.,3,false,0,,,,,,,/Positive/,Positive,0.65
UgxoTFlmLVNZzYBe4QZ4AaABAg,cyber6sapien,3 weeks ago,1511377276976,""" David Cop-A-Feel "" strikes again!",1,false,0,,,,,,,/Positive/,Positive,0.998
UgxdvYXOjbMopiYm5p14AaABAg,Mark Roberts,3 weeks ago,1511377276979,Is this evil crook's karma FINALLY catching up to him after all of the horrific things he has done which has cost so many lives including JFK's? Imagine what the country would now be like if the Kennedy clan had run the country for 24 years as opposed to the Bush Crime Family's 12.,0,false,0,,,,,,,/Negative/,Negative,0.65
Ugy-1yigFIP0NOZs9y14AaABAg,edge2991,3 weeks ago,1511377276982,Ana sounds like she's got dick breath,0,false,0,,,,,,,/Negative/,Negative,0.504
UgwjCuRHnM0AB4dYWud4AaABAg,The Don DeLuxe,3 weeks ago,1511377278422,Of course an old man is fully capable of knowing that is wrong. What a f***ing dumb excuse by Cenk.,6,true,1,,,,,,,/Negative/,Negative,0.99
