,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
Ugz3p95tT2g9d-9DTXJ4AaABAg,Pear,1 month ago,1512433546516,I am deeply disturbed by the amount of comments asking for Orange to fart in my face. 😱,1526,true,440,,,,,,,/Positive/,Positive,0.424
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28ZndA_GaV7m,gavin kailey,1 month ago,1512433553932,Annoying Orange can you make pear a fish called a pearahna,2,/Negative/,Negative,0.816
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28ZndKRjovgM,Mr Blue the fidget spinner MR P,1 month ago,1512433553935,Pear 💩,3,/Positive/,Positive,0.461
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28ZndL2wHTiD,Pikcachu gamer girl MLP,1 month ago,1512433553938,"Pear can you fart on orange! 
🍐💨 🍊",4,/Neutral/,Neutral,0.959
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28Znda4sJrqB,Veron Frederick,1 month ago,1512433553940,Fruits VS vegetables,1,/Positive/,Positive,0.639
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28ZndhH0gqCa,Unicorn Nation,1 month ago,1512433553943,Annoying Orange I love your vids and I dare you and pear and marshmallow and little apple to play just dance on your gaming channel,1,/Positive/,Positive,0.959
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28Zndm5Rbazo,Millie Ireland,1 month ago,1512433553945,Pear knife,2,/Positive/,Positive,0.732
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28Zne5iGFn3f,The Life Of Zuree,1 month ago,1512433553962,Hi pear love you,1,/Positive/,Positive,0.998
,,,,,,,,Ugz3p95tT2g9d-9DTXJ4AaABAg.8ZnbZXKKSO28ZneIe4wifU,Billy On Roblox,1 month ago,1512433553964,🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐 🍊 💨 🍐,5,/Positive/,Positive,0.998
