,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
Ugzb-n00rov75Y-Ue-t4AaABAg,Oskar Runhaar,7 hours ago,1513528312517,Hannity got his balls served. It was a small dish. 😀,0,false,0,,,,,,,/Positive/,Positive,0.988
Ugyij5idp7nxWs-u6Gt4AaABAg,colby4430,2 weeks ago,1512343912520,Wouldn't it be great if Ana's kids grew up conservative /republican.,2,true,3,,,,,,,/Negative/,Negative,0.676
,,,,,,,,Ugyij5idp7nxWs-u6Gt4AaABAg.8_a_Lc3jCvo8aCQXF1J-eR,420 Blazen,2 days ago,1513380712988,colby4430  never hapoen,0,/Negative/,Negative,1
,,,,,,,,Ugyij5idp7nxWs-u6Gt4AaABAg.8_a_Lc3jCvo8aCQZKtRe_j,420 Blazen,2 days ago,1513380712991,Happen,0,/Negative/,Negative,0.4
,,,,,,,,Ugyij5idp7nxWs-u6Gt4AaABAg.8_a_Lc3jCvo8aCSe3bUez-,block spam,2 days ago,1513380712993,420 Blazen  your probably right since she is married to a gay Hispanic male want to be.,1,/Negative/,Negative,0.717
UgwWtgCoaxUA_6tI-B94AaABAg,Max Imum,2 weeks ago,1512343912524,"Hahaha, how is it that I have only now looked at this? He's a ""Pirate Bitch!!!!!"".",0,false,0,,,,,,,/Negative/,Negative,0.789
UgzLRP6-In1I0cdUZiR4AaABAg,Thomas W,2 weeks ago,1512343912527,Cenk is a fat dickhead!,2,true,2,,,,,,,/Negative/,Negative,0.961
,,,,,,,,UgzLRP6-In1I0cdUZiR4AaABAg.8_TYqupGlHG8_TnY84pl2L,Max Imum,2 weeks ago,1512343912954,You sound so jealous. Aweee!!!!!  Do you have tiny hands too?,0,/Neutral/,Neutral,0.736
,,,,,,,,UgzLRP6-In1I0cdUZiR4AaABAg.8_TYqupGlHG8_ToD9-8VK3,Thomas W,2 weeks ago,1512343912956,Max Imum he deserves to be beaten up by sam harris,1,/Positive/,Positive,0.91
Ugy-3NVTxEdLWkcVIKt4AaABAg,Jason Walsh,3 weeks ago,1511739112531,Young turks are garbage.. They try and be like they are alternative media only problem is there controlled opposition,2,true,1,,,,,,,/Negative/,Negative,0.883
,,,,,,,,Ugy-3NVTxEdLWkcVIKt4AaABAg.8_OzbUkDNZo8_PpVjfDdVd,MexiDan,3 weeks ago,1511739112922,By who?,0,/Negative/,Negative,0.998
UgxpB3_7V6qGsul5kul4AaABAg,R. McBride,3 weeks ago,1511739112535,Uh... first question is... how stupid do you have to be to smash your own coffee machine that you paid your own hard earned money for? You have to be a complete MORON! What do you plan to do tomorrow morning? Nitwits!,2,false,0,,,,,,,/Negative/,Negative,0.883
Ugw0BiWpL01CtznQhGR4AaABAg,Pete LeBuhn,3 weeks ago,1511739112539,Am I the only one who likes Anna’s rough voice more than her regular one?,2,false,0,,,,,,,/Positive/,Positive,0.859
UgwFws1-iQ4wMJxB8rV4AaABAg,Lake Eyezis,3 weeks ago,1511739112542,Someone groped the wrong little girl,1,false,0,,,,,,,/Negative/,Negative,0.996
UgwtvPWy-2CZf39-cch4AaABAg,Lake Eyezis,3 weeks ago,1511739112545,Anyone else seeing what Taylor did,1,false,0,,,,,,,/Negative/,Negative,0.953
Ugy04aRUdQTgVSRL3U94AaABAg,American Patriot,3 weeks ago,1511739112548,Why won't you report on Democrats CAUGHT in these same scandals? You are not news you are propaganda and he never defended the man in this country you are innocent until proven guilty the people making allegations are refusing to provide the proof you guys aren't even fakenews your propaganda also known as part of the problem,2,true,2,,,,,,,/Negative/,Negative,0.994
,,,,,,,,Ugy04aRUdQTgVSRL3U94AaABAg.8_JIoiKVSqu8_MPJ0RBRKc,Dwight Schrute,3 weeks ago,1511739112965,There’s literally another video in the related videos calling out a Democrat. Are you really this stupid or are you just bad at trolling?,2,/Negative/,Negative,0.998
,,,,,,,,Ugy04aRUdQTgVSRL3U94AaABAg.8_JIoiKVSqu8_OzyLAt4TY,Jason Walsh,3 weeks ago,1511739112968,Actually young turks did point out about biden groping WOMEN!!! And instead of in the same video where he does it to WoMen they stop short on showing you the rest of the biden video where he continuously gropes CHILDREn and fail to report on it. Thats what you call compromised media.,0,/Negative/,Negative,0.863
Ugx_8gHWyMRSlZtVqXF4AaABAg,American Patriot,3 weeks ago,1511739112553,Who do you work for?  That's right Democrats. Bought and paid for. And also I wouldn't PISS ON YOUR TEETH IF YOUR GUMS WERE ON FIRE.,1,false,0,,,,,,,/Negative/,Negative,0.984
UgyWtLLLKkMEpuvGm3h4AaABAg,American Patriot,3 weeks ago,1511739112556,You guys are liars plain and simple,2,true,1,,,,,,,/Positive/,Positive,0.918
,,,,,,,,UgyWtLLLKkMEpuvGm3h4AaABAg.8_Hm0i1Wrrh8_JGhd8XoNL,Austin Richey,3 weeks ago,1511739112978,Right these people at TYT need to be all shot in the back of the head they're the scum of america,0,/Negative/,Negative,0.896
Ugyn2hD7DaXGaLB9UAN4AaABAg,thunderdragonaf,3 weeks ago,1511739112560,Breaking news.  Lol!,1,false,0,,,,,,,/Positive/,Positive,0.668
UgwqrHMO5nhafKyaCTV4AaABAg,Smileyrie James,3 weeks ago,1511739112563,"Would you actually care what Hannity’s followers do? Not exactly an intelligent, upstanding, admirable bunch of people. But then why on Earth you’d advertise in Hannity’s show anyway.../shrug",0,false,0,,,,,,,/Negative/,Negative,0.922
UgwqibmFVxXFlzTAbhB4AaABAg,Pepe Goeth,3 weeks ago,1511739112566,cenk..i thought you have a law degree? Are we at a point in US histrory where allegation = conviction?..the West is dead,3,true,3,,,,,,,/Neutral/,Neutral,0.566
,,,,,,,,UgwqibmFVxXFlzTAbhB4AaABAg.8_AjQfv1wTU8_ArHJFah0v,jack johnson,3 weeks ago,1511739113017,"The only ""degree"" Chunk has is in hot dog eating...the fat greasy slob.",3,/Positive/,Positive,0.604
,,,,,,,,UgwqibmFVxXFlzTAbhB4AaABAg.8_AjQfv1wTU8_MPfP9kQ0Z,Dwight Schrute,3 weeks ago,1511739113019,"When the allegations are this damning, it’s safe to make some assumptions",1,/Negative/,Negative,0.471
,,,,,,,,UgwqibmFVxXFlzTAbhB4AaABAg.8_AjQfv1wTU8_MS7SDD3fG,jack johnson,3 weeks ago,1511739113021,"You know what they say about people that ""assume"".....the libturd media RELIES on ""Gaslighting"" this way morons like you WILL make assumptions.",0,/Negative/,Negative,0.678
Ugx2uH-rAEM340e6rIB4AaABAg,Nathen Hutchison,4 weeks ago,1511134312571,"Heh heh.  This is a VERY IMPORTANT ANNOUNCEMENT.  Man, was that a quick let down.  Had I been watching this in real time I might have thought that you had some actual news.",0,false,0,,,,,,,/Negative/,Negative,0.607
UgwrYcJAciPKOZXmmAN4AaABAg,lfaldrummer12,4 weeks ago,1511134312574,"I don't understand these ""protests"", they already have your money now you're just breaking your own shit. Stupid rednecks.",13,true,2,,,,,,,/Negative/,Negative,0.998
