,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
Ugy87G4HssR3VRBGYix4AaABAg,Lovebug 99,6 days ago,1.51307E+12,All this makes my blood boil... seriously what is wrong with American's?? Why do they keep defending Trump?? Why is he even in office?? And he has the audacity to comment on this issue,0,FALSE,0,,,,,,,/Negative/,Negative,0.996
UgxYwBLxgsmbOxVx2n14AaABAg,MaybachMG,1 week ago,1.51298E+12,Leean Tweeden made her name being nude in front of others and now that her lime light is dimming and aging this comes out.,0,FALSE,0,,,,,,,/Negative/,Negative,0.777
UgzHtLekG397vmZ-a7R4AaABAg,Glitter,2 weeks ago,1.51238E+12,"HA! HA! The democrat party is dead. HA! HA! Democrats are liars, fakes, and phonies. Never believe one never trust one. The young dorks are democrat party hacks BYE BITCHES YOU'RE DEAD!",0,FALSE,0,,,,,,,/Negative/,Negative,0.518
UgwNhnOnpXuDVHxAxxZ4AaABAg,Russel Mack,2 weeks ago,1.51238E+12,"Yo Franken'groper, we don't want your psuedo ""apology"" we want your RESIGNATION !",0,FALSE,0,,,,,,,/Negative/,Negative,0.943
Ugw7fRbJKS7NHPO3CR94AaABAg,Yushunao Xcent,2 weeks ago,1.51238E+12,Lol pervert.....,0,FALSE,0,,,,,,,/Positive/,Positive,1
UgxD_HFS_Pi-WvLrmuN4AaABAg,Gerg C,2 weeks ago,1.51238E+12,Subjective.,0,FALSE,0,,,,,,,/Positive/,Positive,1
UgxrmIQtQO2EaCWtlXx4AaABAg,Mark Paren,2 weeks ago,1.51238E+12,"Moore is allegations, while Franken admitted the transgression. They are not comparable.",0,FALSE,0,,,,,,,/Negative/,Negative,0.654
Ugykhr7TQgC3JSAffCx4AaABAg,Rhaenyra Reigns,3 weeks ago,1.51177E+12,"I loved the ""21 seconds I want..."" ending. <3",0,FALSE,0,,,,,,,/Positive/,Positive,0.998
UgzwrTQDelcwVkfQNll4AaABAg,evan brown,3 weeks ago,1.51177E+12,Of course they made this political,0,FALSE,0,,,,,,,/Negative/,Negative,0.916
UgwoVBhikVDwrmmO2W14AaABAg,Warchief TTT,3 weeks ago,1.51177E+12,oh come on woman are insane they can vote already they want to be able to gain the same money as man and now they dont want to be assaulted wtf is wrong with this world now everyone is going to be equal sad baby,0,FALSE,0,,,,,,,/Negative/,Negative,0.994
Ugzf9IocSxCy94EbkuF4AaABAg,aestivalgirl,3 weeks ago,1.51177E+12,"""And dog goneit..people just dont like you"" groping them...",1,FALSE,0,,,,,,,/Negative/,Negative,0.988
UgxQRoKF7gx3-uVrZO54AaABAg,Destroyer Venom,3 weeks ago,1.51177E+12,We also know Al Franken is a pedophile but that's why we love him.�� He uses comedy to hide it.�� And the democrats support him no matter what.�� He is so amazing and We all know he can get away with it.�� The only we should focus on is burning down churches and ensuring that all republicans die.,1,FALSE,0,,,,,,,/Positive/,Positive,0.994
