,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
UgzsUZCVKo6x1keA5nx4AaABAg,barakah,1 week ago,1513022787648,"After converting their buttocks he ‘ll want them to cover their hair/face.
As an exmuslim, i present to you islam !",0,false,0,,,,,,,/Positive/,Positive,0.947
UgyvBVn2BVFuewZk7zd4AaABAg,grnhrntskato,1 week ago,1513022787660,This is not the extreme of rape culture. This is fundamental Islam.,0,false,0,,,,,,,/Negative/,Negative,0.934
Ugzn7pf_YKZFBdtaHKl4AaABAg,You Dare I Do,2 weeks ago,1512417987668,I get an hard on when I see a ripped jeans on a sexy girl but I go home masturbate lol . I don't go rape her . This lawyer needs to be raped to see how it feels . Fuckwit,2,false,0,,,,,,,/Negative/,Negative,0.902
UgyoMfzO-ECGriuKNx54AaABAg,serk1933,3 weeks ago,1511813187677,Egypt is a uniqur case as many men are unemployed and cant marry due to poverty. They also have no acess to women as genders dont mix much. When your a 30 year old virgin with an overload of testosterone and no release shit like that happens as its nowhere near as bad and didnt happen in Egypt 30 years ago when people were better off.,0,true,2,,,,,,,/Negative/,Negative,0.996
,,,,,,,,UgyoMfzO-ECGriuKNx54AaABAg.8_F2u2SX4ry8_PIBa9d616,VGH,3 weeks ago,1511813188371,"serk1933 yeah, they're just lonely virgins! Just let them use other human beings with emotions to relieve themselves! They're unemployed!",2,/Positive/,Positive,0.746
,,,,,,,,UgyoMfzO-ECGriuKNx54AaABAg.8_F2u2SX4ry8_PfQ5Bgy6A,patphatcat,3 weeks ago,1511813188376,"serk1933 yeah, I agree. I am in America, but I heard that  homosexuality tends to be high in religious Muslim countries, partly because young men have no wives and little or no access to women, no girlfriends and so they end up having sex with other young men. I wish the more violent ones were able to find a way to find sexual release without forcing someone to have sex against their will. In general, rapes should go down if men had wives and girlfriends, but nothing can excuse that kind of behavior and these men will feel guilty about it for rest of their lives, unless they are psychopaths.",0,/Negative/,Negative,0.725
UgyYQl4mh7j4nL4ZBT94AaABAg,Robert I,3 weeks ago,1511813187688,fake news!,1,false,0,,,,,,,/Negative/,Negative,1
Ugy8SnP6fTDvsf0nu3t4AaABAg,Alex,4 weeks ago,1511208387697,Lol one can be a bit sexist but to say it's a DUTY.. lol you crossed the line of decency by a mile,2,false,0,,,,,,,/Positive/,Positive,0.953
Ugw0kw6pfzKc29zEGbZ4AaABAg,TheSchmuckLook,4 weeks ago,1511208387704,"YES, Sexual Predators must be punished, Rapists, Pedophiles, these must be separated from society.  The dichotomy is that the ladies, while correct in asserting they have every right to wear what they want, must understand they invite commentary & 'look-overs' by those choices.  Look at the panel--- Is Mark showing shoulders & upper chest?  High heels promote buttock shaping.  Bras lift & separate or push up and together, depending on occasion.  Comments are solicited, actions are NOT.  Males have a DUTY to exercize self-control.  Words & thought, ok, assault or rape should get SERIOUS prison time.",4,true,3,,,,,,,/Positive/,Positive,0.67
,,,,,,,,Ugw0kw6pfzKc29zEGbZ4AaABAg.8_8O-bqhCbV8_9DCWfyK6W,UNLebanon,4 weeks ago,1511208388348,"+TheSchmuckLook,  Except that is not true.  It is a common myth that the way a woman dresses invites rape.  Rapists do not select their targets based on how attractive they are; they select their targets based on vulnerability.  The notion that rapists are horny or sexually frustrated is also a common myth.  Rapist get off, not from the sex itself, but from the feeling they get of overpowering and controlling a weaker person.  This is why rape victims include infants and the elderly; not because these are 'sexy' looking people, but because they are weak and easy to overpower.",0,/Negative/,Negative,0.842
,,,,,,,,Ugw0kw6pfzKc29zEGbZ4AaABAg.8_8O-bqhCbV8_AitmXg4sT,TheSchmuckLook,4 weeks ago,1511208388354,"I totally agree with you.  I was merely commenting on how attire is, at times, the cause for 'inappropriate comments and/or 'accidental' touching.  And, one must admit, accentuating the 'bumps' and 'rounded' parts invites comments.  You don't accentuate what you don't want noticed.",0,/Positive/,Positive,0.695
,,,,,,,,Ugw0kw6pfzKc29zEGbZ4AaABAg.8_8O-bqhCbV8_Cvwz8SX3m,UNLebanon,3 weeks ago,1511813188359,"+TheSchmuckLook,  comments perhaps, but certainly nothing skin to sexual harassment.",0,/Negative/,Negative,0.947
