,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
,,,,,,,,Ugyhq9VP4wWlGZxh7NV4AaABAg.8_eorAThvuy8a8G1Mn1oh2,Ricardo Morales,4 days ago,1513280886486,Please point out where in the video they say the alt right should have no freedom fo speech.,1,/Negative/Worry/,Negative,0.599,Worry,0.221
Ugy3PDjv4K9RECzYImF4AaABAg,Earl Proselyte,2 weeks ago,1512416886110,"Dear TYT, stop your bullshit already. We already know how biased you are. You call out Fox News for lying, but you stir trouble constantly for the most minor of aggressions; which is worse than lying. You call out homophobic Christians, yet stay quiet when Muslims lynch gay people. You celebrate the decline in the number of white people, but when Muslims rape kill innocent girls be they white or brown you frown and ignore their calls for help. You have popularized identity politics; and thus you have smeared anyone that disagrees with you. Rot and die in hell, TYT. I hope you enjoy a Muslims dick raping your women.

~ your former fan",12,false,0,,,,,,,/Positive/Enthusiasm/,Positive,0.537,Enthusiasm,0.263
UgwvYOVtFMwATQ5ZZ5Z4AaABAg,Trevin Singh,2 weeks ago,1512416886113,"The scum that is the young turks.  To try and twist a story about nothing in order to fit your narrative whilst not knowing your place.  You, a news reporter for an internet youtube channel ask a multi million dollar popstar idol to stop doing whatever she is doing, and talk to the little people.  She doesn't need to address anything, young dorks.  You ARE the little people.",5,false,0,,,,,,,/Negative/Worry/,Negative,0.387,Worry,0.235
Ugwp9AoJP0nJ629y09l4AaABAg,Jacquelyn Galliher,2 weeks ago,1512416886115,So you get frustrated when a celebrity DOES NOT use Twitter to correct a thought but then you slam others that do (Trump)? When are you going to keep ONE standard and apply it to everyone b/c that is the one thing I don't understand.,5,true,1,,,,,,,/Negative/Worry/,Negative,0.421,Worry,0.251
,,,,,,,,Ugwp9AoJP0nJ629y09l4AaABAg.8_aXoqMr__a8_wRjnm7D7S,Shelly Beans,1 week ago,1513021686536,"Jacquelyn Galliher Trump isn’t just a celebrity though, he is commander of chief. He should not be held to the same standard as a freaking pop singer. when will the deflection stop for you Trump supporters? lol",0,/Positive/Enthusiasm/,Positive,0.42,Enthusiasm,0.231
UgzQ6zRfyafFf5fyuMR4AaABAg,Dave Tyler,2 weeks ago,1512416886119,They like her cause the left tried to paint her a racist for not speaking her political opinions,5,false,0,,,,,,,/Negative/Worry/,Negative,0.441,Worry,0.257
UgxZEFMnrAdMT6_se1t4AaABAg,David Farner,2 weeks ago,1512416886123,She is SUCH a victim. SO not attractive.,1,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.353,Surprise,0.7
UgwuHQFMNjF160YpwZl4AaABAg,Chris Jones,2 weeks ago,1512416886126,"The first thing I thought of when I heard ""Look What You Made Me Do"" was that it would make a great theme song for the new right. There's just so many times an Antifa asshole can call you a ""fascist pig"" before you just lose it and beat the living shit out of the idiot, and Taylor's song makes a great soundtrack for that. As a matter of fact, it seemed to me that Miss Swift might have meant it that way too...",0,false,0,,,,,,,/Positive/Fun/,Positive,0.498,Fun,0.248
UgyID25C-fH97No_j3h4AaABAg,Desi C,2 weeks ago,1512416886128,"The more the regressive left says a white person is evil and oppressive just because they are white the more the Frankenstein monster of white nationalists are going to start looking sensible to  white people who are being shamed for their skin color. The alt-right is just as stupid  and dangerous as the regressive left engaging in divisive identity politics, but if you don't want racist white people, maybe stop calling them evil because of their skin color.",10,true,2,,,,,,,/Negative/Anger/,Negative,0.43,Anger,0.227
,,,,,,,,UgyID25C-fH97No_j3h4AaABAg.8_UGWm4l46m8_WvMgj13g_,Jesse Kytwayhat,2 weeks ago,1512416886521,"I don't think that's actually what's going on. But I'm not white, so I don't know. I'm Native and to be honest this whole movement just scares the shit out of me. Like, when the Alt-Right get's what they want, then what? What does white nationalism mean for Native people. Is there some sort of solution to that problem?",1,/Negative/Worry/,Negative,0.46,Worry,0.247
,,,,,,,,UgyID25C-fH97No_j3h4AaABAg.8_UGWm4l46m8_WxNGWJbAp,Desi C,2 weeks ago,1512416886524,"@Jesse, The Alt-right is an extremely small group of people with an unattainable  ideological view. They can't do anything..My point is that the rise in anti-white sentiment that's very prevalent on the left is causing these racial divisions. People who listen to the left are going to believe white people, especially those who are rich and straight and the worst sin , on the right, have the intention to hurt you. That's just as dangerous as the Alt-right.",2,/Negative/Anger/,Negative,0.496,Anger,0.292
UgwCfwFOvZjMeKi-0rx4AaABAg,kairinaminemix,3 weeks ago,1511812086133,Great! Now you ruined Stranger Things and their fan base >:(,2,false,0,,,,,,,/Positive/Love/,Positive,0.559,Love,0.263
Ugw6erXDrlsmEsjw4XF4AaABAg,Snor Gärs,3 weeks ago,1511812086136,is this real?,0,false,0,,,,,,,/Negative/Worry/,Negative,0.398,Worry,0.242
UgyXkB5ygeqkGTCWtv54AaABAg,My Name,3 weeks ago,1511812086138,Why do I suddenly hate stranger things,10,true,2,,,,,,,/Negative/Hate/,Negative,0.873,Hate,0.343
,,,,,,,,UgyXkB5ygeqkGTCWtv54AaABAg.8_PtGNC_WPU8_UJhY0YZkj,Amity Bell,2 weeks ago,1512416886456,My Name Prolly cause you don't have any actual opinions of your own,0,/Neutral/Surprise/,Neutral,0.541,Surprise,0.743
,,,,,,,,UgyXkB5ygeqkGTCWtv54AaABAg.8_PtGNC_WPU8_UYAdtEw7x,My Name,2 weeks ago,1512416886459,Amity Bell do you really believe that,0,/Neutral/Surprise/,Neutral,0.483,Surprise,0.923
UgyIrcu7p2OfZZ3U5-R4AaABAg,Simon Sozzi,3 weeks ago,1511812086142,I was kidding. Thanks for replying though. 😀,0,false,0,,,,,,,/Positive/Happiness/,Positive,0.549,Happiness,0.263
UgxUuQA1khYf-h9_B614AaABAg,Clara Playa,3 weeks ago,1511812087456,"Taylor Swift makes me feel pitty for her.. soo manupulated for the industry, so lost and so done. This is not gonna take longer than 10 yrs before she is destroyed by herself or the illuminatis. Taylor Swift should think is better ways to approch to the public. LOOK WHAT YOU MAKE ME DO is a horrible video. No for kids, teenagers or even adults. She became another illuminate's bitch",2,true,1,,,,,,,/Negative/Worry/,Negative,0.505,Worry,0.249
,,,,,,,,UgxUuQA1khYf-h9_B614AaABAg.8_OmB51epOh8_Sj05exYdE,Drunken Mongoose,3 weeks ago,1511812087990,I think she will be able to survive by sleeping on her stacks of money.,1,/Negative/Worry/,Negative,0.559,Worry,0.293
UgwpWu3bupCtJFC4qxF4AaABAg,Joseph Goebbels,3 weeks ago,1511812087460,FACT: (((TYT))) are bankrolled by Jewish supremacist,5,false,0,,,,,,,/Negative/Anger/,Negative,0.45,Anger,0.257
UgxPXdJDH3d4JVwg0_x4AaABAg,therichardking4242,3 weeks ago,1511812087464,OK I like the freedom of speech but not the freedom to lie. Making something up about someone and publishing it  is called slander that's what this is.,8,true,2,,,,,,,/Neutral/Surprise/,Neutral,0.41,Surprise,0.706
,,,,,,,,UgxPXdJDH3d4JVwg0_x4AaABAg.8_NAJwmQKjj8_VEZdzNvSO,Wonderwall,2 weeks ago,1512416888038,"therichardking4242 It would be defamation, but Taylor can’t really prove any damages so no. Opinion pieces are protected under the first amendment.",1,/Negative/Worry/,Negative,0.379,Worry,0.258
,,,,,,,,UgxPXdJDH3d4JVwg0_x4AaABAg.8_NAJwmQKjj8__BdSFbXQ_,Dave Tyler,2 weeks ago,1512416888041,Wonderwall my opinion is your a pedo,0,/Negative/Anger/,Negative,0.368,Anger,0.28
Ugwqs6qQlVukvqtDUnF4AaABAg,tiffany johnson,3 weeks ago,1511812087468,No one on the altright thinks that,6,true,1,,,,,,,/Negative/Boredom/,Negative,0.596,Boredom,0.271
,,,,,,,,Ugwqs6qQlVukvqtDUnF4AaABAg.8_N6tWEo0W68_Ne9RsahZU,jared kushner,3 weeks ago,1511812087897,ikr.,0,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.442,Empty tweets / Garbage / No sentiments,0.527
UgwmC49Ek-l3euu_xHV4AaABAg,briane596able,3 weeks ago,1511812087473,You can even Ask the middle school kids - Taylor’s Over,3,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.431,Empty tweets / Garbage / No sentiments,0.689
UgxMrrFmGq_eA3MfTDl4AaABAg,Awakened American national socialist,3 weeks ago,1511812087476,You call us white supremacist even though you are Turkish supremacist. Very funny as well as you keep saying we fascist are Trump supporters even though we are engaged in a war with them.,1,true,1,,,,,,,/Positive/Fun/,Positive,0.491,Fun,0.282
,,,,,,,,UgxMrrFmGq_eA3MfTDl4AaABAg.8_M4BfTZWbf8_fZuu8jMDq,Amere Garsun,2 weeks ago,1512416887981,Awakened American national socialist  hahahaha 😂😂😂😂😂😂 your a joke,0,/Neutral/Surprise/,Neutral,0.375,Surprise,0.508
Ugz6Uaz79lpvdiBAP914AaABAg,Firey Flower,3 weeks ago,1511812087481,Bizarre!,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
UgzY7eqfNiwmrRrased4AaABAg,Sadhana Mandala,3 weeks ago,1511812087483,This is such a far stretch from the truth. Its just a Song,7,false,0,,,,,,,/Positive/Happiness/,Positive,0.372,Happiness,0.234
Ugyh5JUT0sFJhfOkvql4AaABAg,Russell Challenger,3 weeks ago,1511812087487,TYT crushes Neo Nazis like the troops at Normandy.,3,true,2,,,,,,,/Neutral/Surprise/,Neutral,0.415,Surprise,0.558
,,,,,,,,Ugyh5JUT0sFJhfOkvql4AaABAg.8_K1lQ5LNSn8_M4-l7fz0I,Awakened American national socialist,3 weeks ago,1511812088015,Russell Challenger oh how countless of Germans mowed downed Americans?,0,/Negative/Worry/,Negative,0.421,Worry,0.252
,,,,,,,,Ugyh5JUT0sFJhfOkvql4AaABAg.8_K1lQ5LNSn8_UK0kztEVd,Amity Bell,2 weeks ago,1512416888018,Awakened American national socialist Awakened American national socialist You call yourself an American? nazi scum,1,/Neutral/Surprise/,Neutral,0.432,Surprise,0.58
UgxGeK0-1DFqMQnYOoR4AaABAg,dfdfdgg gjhjjh,3 weeks ago,1511812087491,"The young Turks uses the term 'white supremacist' all the time, when have they ever used the term Jewish supremacist. They haven't, because they are an anti white program.",6,true,13,,,,,,,/Neutral/Surprise/,Neutral,0.459,Surprise,0.887
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_K4KGCpCuO,Lar M,3 weeks ago,1511812088099,Jews are racially white.,5,/Neutral/Surprise/,Neutral,0.45,Surprise,0.792
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_KUeM2samL,dfdfdgg gjhjjh,3 weeks ago,1511812088101,"@Lar M  Does Ben Bernanke look white to you? The jews are their own race which they can genetically test if you are jewish. They are the ones that own the newspapers, tv channels, hollywood, wall street, the federal reserve, the big retail stores, you name it.",1,/Neutral/Surprise/,Neutral,0.512,Surprise,0.805
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_KozHZHDJj,Messy Marv,3 weeks ago,1511812088104,"dfdfdgg gjhjjh There is no such thing as jewish supremacy just like there is no such thing as black supremacy etc.,etc.",1,/Negative/Sadness/,Negative,0.427,Sadness,0.237
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_L4k7N0Fxl,eXcel Mango,3 weeks ago,1511812088107,Messy Marv then theres no such thing as white supremacy?,0,/Neutral/Surprise/,Neutral,0.442,Surprise,0.78
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_L9bSzel2J,Messy Marv,3 weeks ago,1511812088110,eXcel Mango There is.,1,/Neutral/Surprise/,Neutral,0.358,Surprise,0.719
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_LMORnEaG0,eXcel Mango,3 weeks ago,1511812088114,"Messy Marv and hows that? you sound like a anti white piece of shit to me, whites are only 6.5% of the world population but sure keep trying to act like your the minority thats so oppressed",0,/Negative/Hate/,Negative,0.402,Hate,0.238
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_LUNPF3ajX,Dan Franco,3 weeks ago,1511812088116,The word is jewpremacist.... or “the juice”.,0,/Neutral/Surprise/,Neutral,0.426,Surprise,0.542
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_MPQ0Cb_9y,BLONETHVG,3 weeks ago,1511812088119,Lar M lmao,0,/Positive/Fun/,Positive,0.549,Fun,0.337
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_NLMVyr9Dh,Messy Marv,3 weeks ago,1511812088123,eXcel Mango All these white supremacists gangs like the skinheads running around committing hate crimes on minorities. You very rarely hear minorities committing hate crimes on whites though.,1,/Negative/Hate/,Negative,0.625,Hate,0.297
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_NRnNCZmZX,eXcel Mango,3 weeks ago,1511812088125,"Messy Marv exactly, because you racist pieces of shit think you can't be racist towards white people, the 4 adults that tortured a mentally challenged white kid while yelling racial slurs recently had their hate crime charge dropped, In 2016, anti-white hate crimes rose 17%, to a reported 720 incidents",0,/Negative/Hate/,Negative,0.661,Hate,0.295
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_NSr5Kt8dm,Messy Marv,3 weeks ago,1511812088144,"eXcel Mango If that’s the case then white people have no one to blame other than these white supremacist hate groups. Only white people have a history of oppressing and discriminating against other groups of people. All hate does is create more hate, that’s why you see other groups of people giving whites a taste of their own medicine.",1,/Negative/Hate/,Negative,0.626,Hate,0.315
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_P19fH1N5d,John,3 weeks ago,1511812088148,"Want your mind blown? Research where they got their name. The Young Turks, or Ottoman exiles, murdered over 1.5 million Armenians from 1914–1923. They claim it was a war between Turks and Armenians, but the Armenian People say different.",0,/Negative/Worry/,Negative,0.405,Worry,0.225
,,,,,,,,UgxGeK0-1DFqMQnYOoR4AaABAg.8_JiB0g-f0P8_fZxP081f3,Amere Garsun,2 weeks ago,1512416888150,dfdfdgg gjhjjh hahahahaahhahah 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
UgxJlVqb2Bl0qdS6hJF4AaABAg,Ángel Andrés Torres,3 weeks ago,1511812087495,She doesn't want to get involved in any politics why dafuq do you guys want her to pick a side.,12,true,4,,,,,,,/Negative/Worry/,Negative,0.559,Worry,0.249
,,,,,,,,UgxJlVqb2Bl0qdS6hJF4AaABAg.8_HuwhE3iku8_LpoOXZWT0,T.K. C,3 weeks ago,1511812087925,"lol when it comes to white supremacy & neo nazis there is no ""picking sides"" you either for evil or against evil & her silence speaks volumes!",1,/Negative/Worry/,Negative,0.35,Worry,0.246
,,,,,,,,UgxJlVqb2Bl0qdS6hJF4AaABAg.8_HuwhE3iku8_P1p-krPuc,John,3 weeks ago,1511812087931,White Supremacist and Neo Nazi's don't give a crap about Taylor Swift. And Swift doesn't give a crap about Politics.,1,/Negative/Hate/,Negative,0.497,Hate,0.23
,,,,,,,,UgxJlVqb2Bl0qdS6hJF4AaABAg.8_HuwhE3iku8_VElTYhzbj,Wonderwall,2 weeks ago,1512416887935,Well a dog could guess that Taylor is a Republican. Her politics aren’t such a mystery.,0,/Positive/Fun/,Positive,0.429,Fun,0.27
,,,,,,,,UgxJlVqb2Bl0qdS6hJF4AaABAg.8_HuwhE3iku8_VF11rIcL2,Ángel Andrés Torres,2 weeks ago,1512416887938,T.K. C you're trolling me?,0,/Positive/Love/,Positive,0.374,Love,0.293
Ugx0Usrm4eBWYEt2cut4AaABAg,Lynx,3 weeks ago,1511812087500,"So some idiot made up dishonest, baseless and slanderous blog post on a singer and now you suddenly care about freedom of speech? Never mind that author went extra mile to accuse Ms Swift of assembling lower case kkk with her ""silent support"".

And here's an interesting part of TYT report, they only read pitchfork article, they didn't read the blog nor any other source. This is why we ""trolls"" hate TYT, they are reaction channel disguised as news channel.",11,false,0,,,,,,,/Negative/Hate/,Negative,0.5,Hate,0.275
UgxpH8HGUUqlaWY-dW94AaABAg,Howard J Cartmell,3 weeks ago,1511812087503,"At this point, anyone over 14 or IQ of 85+ must be watching TYT for the unintentional satire. If you want to see grown adults talk about politics like gossip and trying to be edgy and sticking it to the man, TYT are hilarious. Performing mental gymnastics over ridiculous ideas to fit their preconceived narrative they have, don’t talk to anyone who disagree with or selectively to win. It’s like Affirmative Action, groupthink, teenage mentality interpretation of the news. They actually think they are great thinkers and journalists. When Jimmy Dore is the voice of reason and makes them look silly because he has his own ideas, and as much as I don’t agree, it’s quite something to witness. They actually think they’re Independent! Independent of integrity, judgment and honesty. Snake oil salesman of the comically poor standards.",9,true,2,,,,,,,/Negative/Worry/,Negative,0.399,Worry,0.253
,,,,,,,,UgxpH8HGUUqlaWY-dW94AaABAg.8_GdLI4FGse8_HVYDofQu_,Greg MacGillivray,3 weeks ago,1511812088026,That's one hell of a take down. I hope you are a teacher somewhere,0,/Negative/Boredom/,Negative,0.44,Boredom,0.26
,,,,,,,,UgxpH8HGUUqlaWY-dW94AaABAg.8_GdLI4FGse8_La2Sx1Y_C,Mr. Campbell,3 weeks ago,1511812088029,"Most people just walk fox news for political satire, then the daily show.",0,/Neutral/Surprise/,Neutral,0.504,Surprise,0.514
UgyDfXVo4LkzeQN84g14AaABAg,That Guy,3 weeks ago,1511812087507,This is Pepe all over again.,1,false,0,,,,,,,/Negative/Boredom/,Negative,0.494,Boredom,0.227
UgxxJtxK87D6ZdwRPTF4AaABAg,Vre vregg,3 weeks ago,1511812087511,So Taylor Swifts out of context stuff is ok but pewdiepies isnt? Get your toughts straight,4,true,4,,,,,,,/Negative/Worry/,Negative,0.371,Worry,0.247
,,,,,,,,UgxxJtxK87D6ZdwRPTF4AaABAg.8_FEoa8f-ql8_HuH85Ihb4,Ángel Andrés Torres,3 weeks ago,1511812087963,Vre vregg i was about to say that,0,/Negative/Worry/,Negative,0.431,Worry,0.232
,,,,,,,,UgxxJtxK87D6ZdwRPTF4AaABAg.8_FEoa8f-ql8_JkfK84ma1,Jazzy Jaz,3 weeks ago,1511812087968,"Vre vregg 
Well for one you're comparing a YouTube star to a supposedly talented musician. Taylor & Pewdipie shouldn't even be uttered in the same sentence they both don't hold the same caliber.",0,/Negative/Worry/,Negative,0.369,Worry,0.257
,,,,,,,,UgxxJtxK87D6ZdwRPTF4AaABAg.8_FEoa8f-ql8_Q5_WfKJOy,CitrusPeppercorn,3 weeks ago,1511812087971,"Jasmin Portillo 
Because one has millions of young fans and billions of views on their entertainment properties and the other doesn't right?",0,/Neutral/Surprise/,Neutral,0.402,Surprise,0.809
,,,,,,,,UgxxJtxK87D6ZdwRPTF4AaABAg.8_FEoa8f-ql8_Q7CPks0sA,Jazzy Jaz,3 weeks ago,1511812087973,"CitrusPeppercorn 
There is a point of who has more pull than the other. For sure Taylor has more influence and more fans *FACT*. Whoever takes pewdiepie seriously has less brain cells than a snail (this includes kids, they're smarter than you think).",0,/Negative/Worry/,Negative,0.487,Worry,0.242
UgzO-X7em3hWeg6eVg54AaABAg,Lar M,3 weeks ago,1511812087539,White supremacists couldn't care less about Taylor Swift.,1,false,0,,,,,,,/Negative/Worry/,Negative,0.362,Worry,0.239
UgyJOb2dJx9piuzX2yZ4AaABAg,Luthfan Zul Fahmi,3 weeks ago,1511812087542,This is why people dont trust mainstream media anymore. It is okay be white.,7,true,4,,,,,,,/Negative/Worry/,Negative,0.556,Worry,0.234
,,,,,,,,UgyJOb2dJx9piuzX2yZ4AaABAg.8_EUYoOUBBz8_EjzHidOwe,Small d Democrat,3 weeks ago,1511812088054,Luthfan Zul Fahmi Nice gaslighting.,1,/Positive/Happiness/,Positive,0.87,Happiness,0.281
,,,,,,,,UgyJOb2dJx9piuzX2yZ4AaABAg.8_EUYoOUBBz8_GB4lRu7vS,Lord Dayu,3 weeks ago,1511812088056,"Ah yes, the majority white population that composes most of the governments and media are the victims who desperately need to be reminded that it's okay to be white... riiiight.",3,/Neutral/Surprise/,Neutral,0.37,Surprise,0.776
,,,,,,,,UgyJOb2dJx9piuzX2yZ4AaABAg.8_EUYoOUBBz8_L55o3immp,eXcel Mango,3 weeks ago,1511812088059,"Lord Dayu we are 6.5% percent of the world population wtf do you mean ""majority white"" gtfo",1,/Negative/Worry/,Negative,0.359,Worry,0.232
,,,,,,,,UgyJOb2dJx9piuzX2yZ4AaABAg.8_EUYoOUBBz8_RVKSgtYiO,Small d Democrat,3 weeks ago,1511812088063,eXcel Mango obviously they meant in the west,0,/Neutral/Surprise/,Neutral,0.382,Surprise,0.608
UgxL3Qxw2hfY4WRjiz14AaABAg,Biba catface,3 weeks ago,1511812087547,"Why can't she say Ms properly? She either says Miss or Mrs, as a Ms myself I find it irritating.",0,true,2,,,,,,,/Negative/Worry/,Negative,0.664,Worry,0.235
,,,,,,,,UgxL3Qxw2hfY4WRjiz14AaABAg.8_E9KiRzjxq8_F3gT3PICL,Lar M,3 weeks ago,1511812087997,Ms is for addressing the many uncertainties of modern women !,0,/Negative/Worry/,Negative,0.372,Worry,0.219
,,,,,,,,UgxL3Qxw2hfY4WRjiz14AaABAg.8_E9KiRzjxq8_FQ3YPhPW-,Biba catface,3 weeks ago,1511812087999,"Ms is equal to Mr, it doesn't label a woman as married or unmarried.",0,/Negative/Worry/,Negative,0.536,Worry,0.251
UgzrqJeKKyfxk2AtWuh4AaABAg,Curt Christensen,3 weeks ago,1511812087551,wow... TYT is really bending over backwards. to create a fake story,8,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.428,Surprise,0.809
Ugz3TXnohwkAHnbXkxJ4AaABAg,Platypus,3 weeks ago,1511812087554,"The scene where she is on the podium in front of the models represents accusations against Taylor Swift for creating a large group of brainwashed fans. (who are mostly girls) She was pretty much saying ""I'm gonna call you out on your shit, this doesn't bother me,"" and no, I'm not some Swift fan who will defend her at all costs but I think people just need to chill out and look at the bigger picture of all these symbolisms. More examples are the $1 bill in the bathtub of jewels, which symbolizes the money she won when a radio host garbed her behind and was accused of sexual assault. This small bill in a pool of gems worth millions reprents that this 1 dollar meant a lot more to her than just 1 dollar, that no woman should ever have to go through this and that you can make a difference. I dont know. People just need to think more, especially in todays age where there is so much controvery.",2,false,0,,,,,,,/Negative/Anger/,Negative,0.593,Anger,0.233
Ugx4S6CetUgWZeRoAx14AaABAg,Sabina Cruz,3 weeks ago,1511812088892,Idk what she is but she does need to diversify a bit. Most of her boyfriends have been white and her best friends sooo idk. It could just be what she is most around but it seems odd to me since I’ve dated and friended people from different races.,1,true,9,,,,,,,/Positive/Love/,Positive,0.391,Love,0.261
,,,,,,,,Ugx4S6CetUgWZeRoAx14AaABAg.8_C_xXcmE8W8_DABY33ySo,Flyn Dick,3 weeks ago,1511812089425,Lol what is wrong with dating within your own race?,3,/Neutral/Surprise/,Neutral,0.429,Surprise,0.578
,,,,,,,,Ugx4S6CetUgWZeRoAx14AaABAg.8_C_xXcmE8W8_EoSCWb2X5,mabCx,3 weeks ago,1511812089428,are you a spastic? nearly everyone who's ever lived in the entirety of human existence has bred with and socialized with their own race. that's why there are races. duh.,1,/Neutral/Surprise/,Neutral,0.481,Surprise,0.801
,,,,,,,,Ugx4S6CetUgWZeRoAx14AaABAg.8_C_xXcmE8W8_F-7CG-IEt,Sabina Cruz,3 weeks ago,1511812089430,"Nothing wrong with dating within your own race but if most of your friends and relationships are in the same race it does maybe signal a discomfort with other races. And while yes many people have bred with their own race for generations, we live in an increasingly globalized world and it’s silly to try to homogenize a bubble to live in. But then again I have a multicultural view of the world. I understand if y’all don’t have the same life experience and are only surrounded by your own race.",1,/Neutral/Surprise/,Neutral,0.38,Surprise,0.512
,,,,,,,,Ugx4S6CetUgWZeRoAx14AaABAg.8_C_xXcmE8W8_F4hBcHgKD,Flyn Dick,3 weeks ago,1511812089432,"Sabina Cruz Ok cool, thanks for your opinion. I believe multicultural views are fine if that is what your into. But I also believe if you want to hang around your own race that is fine too. It doesn't automatically make you a bad person or racist.",1,/Negative/Worry/,Negative,0.414,Worry,0.25
