,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
UgwA4_xMTKOeNCCcEoF4AaABAg,Andre De Luxembourg,10 hours ago,1513553836094,Wow orange fuck's bastard look like an ass!! How come that man does only retards ???,0,false,0,,,,,,,/Negative/,Negative,0.75
Ugyk_qGZL_MULE3kB-p4AaABAg,TheMaryam1891,3 days ago,1513330636097,Access Hollywood and the show DOOL both owned by NBC. Days is also owned by SONY? Wasn't SONY hacked and blackmailed?,0,false,0,,,,,,,/Positive/,Positive,0.99
Ugx31uv3ovQjIFrxn354AaABAg,Anndrea Kelley,5 days ago,1513157836100,i hate knowing that I have this investigation solved. Who could have people in awwm ya. apologize. i know it was all my fault,0,false,0,,,,,,,/Negative/,Negative,0.959
UgxJcFipcnKfyMGPg9x4AaABAg,Anndrea Kelley,5 days ago,1513157836103,kvh or google weblight?,0,false,0,,,,,,,/Neutral/,Neutral,0.998
UgyA_RWqteTvDJRNLVp4AaABAg,Great Doofus,6 days ago,1513071436106,"These morons didn’t read out the entire rigging DM, Wikileaks SPECIFICALLY mentions campaign finance. I thought the Young Turds cared about that.",0,false,0,,,,,,,/Negative/,Negative,0.387
UgzPp3iCmdmrK_ACy094AaABAg,Frisky Bottomsuuater,1 week ago,1512985036109,"Woooo.   Fake News.    Do you leftovers ever get tired of looking like complete buffoons?     This must be sooooo embarrassing for you!    The libby-left and msm keep on feeding you a steady diet of bullshit.... AND YOU KEEP EATING IT!     Tell me, which hurts the worst:  being a  constantly flaccid, useful idiot?   OR  the huge herpies patch around your collective butthole?   LOL, idiots!",0,false,0,,,,,,,/Negative/,Negative,0.754
UgzC8aIn6_oWtG8S1X14AaABAg,r448191,1 week ago,1512985036111,"If wikileaks has not been run by Russians for quite some time, I will eat my hat",0,false,0,,,,,,,/Negative/,Negative,0.838
UgyeAUHoAADr_8Xn3JB4AaABAg,samsote,1 week ago,1512985036115,"on the topic of the access Hollywood film not being called stolen while the emails are i believe there is a difference. 
Sure both are in one way or another obtained illegally. 
 
However if someone with legal access to the tape leaked it to the Washington post, as i believe is the case, then that is normally called a leak right? 
 
However in the case of the Clinton emails, someone HACKED into their server, illegally accessing those emails, it's in some way the same as a break in. 
 
There's a big difference there. 
 
if someone had hacked into the access Hollywood servers, or broken into the facility where the tape was located and stolen it then it should be on the same level as the emails. 
But i don't think that's what happened.",0,false,0,,,,,,,/Negative/,Negative,0.744
UgysrRKMGgfKs305WtF4AaABAg,Desolation Cult,2 weeks ago,1512380236117,"Assange and Wikileaks are journalists and id be shocked if they had anything to do with Russia. Seems like a stretch, more Russiagate nonsense. I believe Assange over any politician, intelligence operative, or any msm source. Ive also yet to see evidence that the dnc was hacked by anyone, let alone Russia.",1,false,0,,,,,,,/Negative/,Negative,0.783
UgwxDRziKuvyEc1aS0Z4AaABAg,Michael Newell,2 weeks ago,1512380236119,"The exit polling discrepancies show the primary was literally stolen, Anna.",0,false,0,,,,,,,/Negative/,Negative,0.891
UgwwVOj96dch-f-3whp4AaABAg,TheKiddy3,2 weeks ago,1512380236122,How do we have knowledge of this correspondence says Ana. Wild guess: she's been watching and is emulating Rachel Maddow. This is just sad.,1,false,0,,,,,,,/Negative/,Negative,0.941
Ugw_J_Kle_sdlsLWE7J4AaABAg,Olga Zadig,2 weeks ago,1512380236124,Julian Assange has never been charged of anything!!!! WTF with Young Turks?,1,false,0,,,,,,,/Negative/,Negative,0.926
UgzU8QFKku0oOw3NZaR4AaABAg,Olga Zadig,2 weeks ago,1512380236128,Do you really think Assange asked for an ambassador position? Come on! Go and read what Cryptome has to say about those e-mails.,0,false,0,,,,,,,/Neutral/,Neutral,0.416
UgyeLt19bLxK3tXldTV4AaABAg,Dawn,2 weeks ago,1512380236130,Wow. Cenk is so willfully ignorant. This video is like Curly and Moe trying to solve a crime. I couldn't believe it when he said no one made a big deal about the Pentagon Papers. How ignorant.,1,false,0,,,,,,,/Negative/,Negative,0.994
UgwYNlS6CezSCBpDHeJ4AaABAg,EasySnake,3 weeks ago,1511775436133,"the part that is damning is them encouraging trump to challenge the legitimacy of hilary's win if she had won. Why would a news organization forment that kind of instability? Makes me wonder if Wiki Leaks was a russian plot to hurt the US all along, and I was a supporter of wiki leaks. If you go over the history of wiki leaks it seems they only release information that damages the US government and american allies. They seem very reluctant to do the same to russia.

Trump challenging the results of the election if hillary had won could have triggered something terrible.",0,false,0,,,,,,,/Negative/,Negative,0.65
Ugzh0QTcbFF14fqdz5F4AaABAg,SanctreMalleus,3 weeks ago,1511775436135,"Cenk is so full of shit that i am convinced he sold out now. Assange hates Clinton because she THREATENED TO HAVE HIM ASSASINATED you godamn idiots. So of course he would help anyone and do anything to prevent her from winning. Should TYT be called out for supporting Bernie Sanders as colluding with the Bernie campaign for promoting him during the primaries? The entire MSM supported Hillary, but the second wikileaks supports Hillary's opponent you sellouts suddenly cry its the end of the world, treason! What utter frauds you have revealed yourselves to be, utter scum.",1,false,0,,,,,,,/Negative/,Negative,0.811
