,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
UgzKTmCj0SeMl4vqZPF4AaABAg,Zarli Win,1 day ago,1513498243883,"Ben, the problem with taking away some kinds of guns is that so far what is most targeted are guns that just look scary as opposed to that are actually more deadly or even used in the most homicides.",0,false,0,,,,,,,/Negative/,Negative,0.715
Ugx4VKC9jCNfU704Wol4AaABAg,Brian Smith,2 days ago,1513411843887,I want to see Shapiro invited on the show so he can debate tyt. All of tyt hosts vs Ben Shapiro. Tyt will be outnumbered still i guess. Wouldn't be a fair debate.,0,false,0,,,,,,,/Neutral/,Neutral,0.598
UgxJdD-FB5zkebyIOKZ4AaABAg,MattacksRC,6 days ago,1513066243890,I'm all for the strictest regulation of guns.,0,false,0,,,,,,,/Positive/,Positive,0.475
UgxyglJPlA3puOLSJ5J4AaABAg,Easily Annoyed,2 weeks ago,1512375043908,I disagree with gun control. I feel that most gun control laws should be removed however if you lost your right to own a gun due to a conviction showing youre a threat to others you should be added to the NICS system so you cannot legally get firearms. I agree with this bill.,0,false,0,,,,,,,/Negative/,Negative,0.969
UgyAO4yI_KQcZt382Ux4AaABAg,Susan Fuckface,2 weeks ago,1512375043911,Chicago and Ny have strict gun control. Yet young black men are still killing one another in the streets.,3,false,0,,,,,,,/Negative/,Negative,0.873
UgxXJmmNP9lyy7fpPmJ4AaABAg,James O'Brien,2 weeks ago,1512375043914,"TYT, when are ya'll going to get some brains? Admit that you hate the founding fathers and freedom from corrupt governments. History always ends up repeating itself.",5,false,0,,,,,,,/Positive/,Positive,0.686
Ugy3NcBi5JzIg60PafR4AaABAg,James O'Brien,2 weeks ago,1512375043917,"If guns are banned, they'll just make simple home made bombs like Tim McVey did. They'll also use vehicles like in Nice, France which killed 87 people. Vehicles kill more people than guns do, let's ban all vehicles. The U.S. Constitution doesn't even protect them. Let's ban the biggest killer first, once vehicles are banned, then you can start the process of banning all guns. You have to ban fertilizer as well because it can be made into bombs. They banned drugs already, so that's fixed already.",5,false,0,,,,,,,/Positive/,Positive,0.854
Ugx3r7m-YzGDVmyTKGx4AaABAg,RichWitGame,2 weeks ago,1512375043931,"Listening to them talk about guns, is the equivalent of listening to fish talking about driving cars. 🤣",4,false,0,,,,,,,/Neutral/,Neutral,0.629
Ugx2umQF3QcaNEDehjJ4AaABAg,1911GreaterThanALL,2 weeks ago,1512375043934,Short answer - no.,7,true,5,,,,,,,/Negative/,Negative,0.945
,,,,,,,,Ugx2umQF3QcaNEDehjJ4AaABAg.8_V4ECMlytU8_W1pnhVUYb,luv cheney,2 weeks ago,1512375044433,"1911GreaterThanALL 230,000 annual deaths from just medical mistakes 2016. Heavily regulated by govt. Heavily financed by Govt. Yep. Rely on Govt. Call police and wait when bad guys come. The police will see to it your body is outlined in chalk for the investigation. Even if they catch them, there will be no Justice.
    In Texas, justice was swift. A neighbor shot the mass murderer, was dead within a short time. Then, police came and investigated. Bet your ass christian congregations come to church in Texas well armed now. 
      Media dropped this part like a hot potato. That mass shooter bought his guns legally, with a background check!!! The US Air Force, the Federal Govt, failed to notify the FBI of his discharge for family violence which would have stopped the sale of his rifles.
     Sure, the Federal Govt can be depended on for your safety. Unless you live by the open border. Then you can depend upon nothing being done.",3,/Negative/,Negative,0.84
,,,,,,,,Ugx2umQF3QcaNEDehjJ4AaABAg.8_V4ECMlytU8_X6gsI-y_r,1911GreaterThanALL,2 weeks ago,1512375044438,Preaching to the choir.  I am here to trigger people afraid of firearms.,4,/Negative/,Negative,0.691
,,,,,,,,Ugx2umQF3QcaNEDehjJ4AaABAg.8_V4ECMlytU8_XHNwej9dO,luv cheney,2 weeks ago,1512375044452,"1911GreaterThanALL Perhaps ""No "" as a comment is for psychics.",1,/Negative/,Negative,0.988
,,,,,,,,Ugx2umQF3QcaNEDehjJ4AaABAg.8_V4ECMlytU8_XIdGa8unw,1911GreaterThanALL,2 weeks ago,1512375044456,Well can you think of any significant gun controls that have bipartisan support?  That is a no.,2,/Negative/,Negative,0.445
,,,,,,,,Ugx2umQF3QcaNEDehjJ4AaABAg.8_V4ECMlytU8_XJ8E1h4hT,luv cheney,2 weeks ago,1512375044462,1911GreaterThanALL Gee. You can write a complete sentence!,1,/Negative/,Negative,0.984
UgxbM44PPKHHVuhxGUx4AaABAg,Josh Colby,2 weeks ago,1512375043939,young turks .. WE WILL NOT COMPLY.... deal with it,8,false,0,,,,,,,/Negative/,Negative,0.98
UgzDrKMoeSMG_yN1g7R4AaABAg,Apex Tyrannis,3 weeks ago,1511770243943,Gun laws only effect the law abiding...criminals will always get guns period!,9,true,26,,,,,,,/Positive/,Positive,0.988
,,,,,,,,UgzDrKMoeSMG_yN1g7R4AaABAg.8_S5uPoEDXy8_Trbp4Dks1,Infinite Sheldon,2 weeks ago,1512375044596,"All laws only affect the law-abiding...criminals will always break laws, period!",1,/Positive/,Positive,0.998
,,,,,,,,UgzDrKMoeSMG_yN1g7R4AaABAg.8_S5uPoEDXy8_Uj5_L1zvL,matthewweaverworks,2 weeks ago,1512375044629,"Infinite Sheldon Thus we should be able to shoot criminals to protect our life & liberty, small dot indicating the end of the sentence.",2,/Positive/,Positive,0.883
