,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
Ugy2wokL9inpkyX_KWd4AaABAg,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433160180,Sorry i'm late i'm the...,113,true,79,,,,,,,/Negative/,Negative,0.996
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pFc5-bbG,Annoying Orange,1 month ago,1512433161636,Banana?,34,/Negative/,Negative,0.996
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pKYhqhiq,Marshmallow,1 month ago,1512433161638,Unicorn?,32,/Negative/,Negative,0.996
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pPO2dvQ_,Grapefruit,1 month ago,1512433161641,Butt Doctor?,31,/Positive/,Positive,0.592
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pTOyWlOB,Squash,1 month ago,1512433161644,Squash?,30,/Positive/,Positive,0.592
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pYTfDCRP,Midget Apple,1 month ago,1512433161648,Unicycle Thief?,32,/Positive/,Positive,0.592
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4paC_hA6f,Grandpa Lemon,1 month ago,1512433161651,Zzzzzzzzz...,31,/Positive/,Positive,0.592
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pftH3XSj,Pear,1 month ago,1512433161654,Bacon Alarm Clock?,35,/Positive/,Positive,0.662
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pnoP1P7u,Annoying Orange,1 month ago,1512433161656,Pantsless Pants DJ?,34,/Positive/,Positive,0.455
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4q-gjfSA3,Cole Clifford,1 month ago,1512433161659,Toaster?,12,/Positive/,Positive,0.455
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4s5RD9s2y,Angel Rosas,1 month ago,1512433161662,Myquel Grant Acaylar Hernando day iiiiiyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,4,/Neutral/,Neutral,0.805
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4sBy7BNUn,Jay-Jay Childs,1 month ago,1512433161664,An Apple?,4,/Positive/,Positive,0.998
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4uFw1fXzX,Galaxykiller200,1 month ago,1512433161666,Monster burger?,4,/Negative/,Negative,0.74
