,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/Worry/,Negative,0.398,Worry,0.269
Ugw5SD_TulXFta9zf-V4AaABAg,Captain Of A Starship,2 days ago,1513413353656,"...Hmmm         
Picture without make-up... and without cosmetic surgery??
Just joking 🖖",0,false,0,,,,,,,/Negative/Worry/,Negative,0.617,Worry,0.239
Ugx62Mc71w2bwAawvwR4AaABAg,Yushunao Xcent,2 weeks ago,1512376553660,Make up is the devil a man turn to a woman you don't even know,1,false,0,,,,,,,/Positive/Fun/,Positive,0.375,Fun,0.294
UgxVKIvBeYzIwcBaWi54AaABAg,DrSher,2 weeks ago,1512376553663,"Once this app thing attention disappears, I predict a long-term drive from cosmetics to healthy living and hitting the gym. Not a bad deal for women IMHO. The cosmetics industry is a cruel field on the back of animals; it drives up innate consumerism in women and also is unfair to those who cannot afford as much or simply doesn't know how to be a perfect make-up artist.",3,true,1,,,,,,,/Negative/Worry/,Negative,0.561,Worry,0.247
,,,,,,,,UgxVKIvBeYzIwcBaWi54AaABAg.8_TffO-_Kg38a8Flyaq9rp,You know where I like it...,4 days ago,1513240554171,"""...and also is unfair to those who cannot afford as much or simply doesn't know how to be a perfect make-up artist.""

& without makeup, it's unfair to the ugly ones.",0,/Negative/Worry/,Negative,0.512,Worry,0.244
Ugz2l-77taL_5Sk5YOF4AaABAg,Giselle Harthorne,3 weeks ago,1511771753667,She says um a lot,4,true,2,,,,,,,/Positive/Enthusiasm/,Positive,0.402,Enthusiasm,0.276
,,,,,,,,Ugz2l-77taL_5Sk5YOF4AaABAg.8_S14qMoPXl8_V_A0lnSt_,Yushunao Xcent,2 weeks ago,1512376554127,Giselle Harthorne no one cares...,0,/Negative/Boredom/,Negative,0.608,Boredom,0.282
,,,,,,,,Ugz2l-77taL_5Sk5YOF4AaABAg.8_S14qMoPXl8_Vxjg3yxW0,ZIC ZU,2 weeks ago,1512376554130,"RIght, right right!! Right, right?",0,/Neutral/Surprise/,Neutral,0.578,Surprise,0.536
UgxPP-EdpyF21hNo7CR4AaABAg,Saibal Ghosh,3 weeks ago,1511771753671,everything is sexist .i saw a video where one dickhead feminist calling office AC also sexist since those run on body tem of male,4,false,0,,,,,,,/Negative/Worry/,Negative,0.415,Worry,0.236
UgydTxFiRd0qNKn-kDB4AaABAg,Warchief TTT,3 weeks ago,1511771753675,that doesnt even sounds like ana she would have said something awesome plus ana is super smart its just a plus if ana is sexy too,2,true,2,,,,,,,/Neutral/Surprise/,Neutral,0.398,Surprise,0.701
,,,,,,,,UgydTxFiRd0qNKn-kDB4AaABAg.8_N-N9-hLNM8_VPZcgyJa6,Warchief TTT,2 weeks ago,1512376554089,i have she is great,0,/Positive/Enthusiasm/,Positive,0.635,Enthusiasm,0.313
,,,,,,,,UgydTxFiRd0qNKn-kDB4AaABAg.8_N-N9-hLNM8_Z9dApjlwo,Warchief TTT,2 weeks ago,1512376554092,i guess you cant never make people happy like you and me i bet we are ugly to many but if we are okey to those we love np ana is such a great person i believe that is what matters and she looks awesome,0,/Positive/Love/,Positive,0.603,Love,0.36
UgzejF5BzF1Bo6Micvx4AaABAg,God satan,3 weeks ago,1511771753678,a sensible tyt video,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.579,Empty tweets / Garbage / No sentiments,0.629
UgwpZwKXa4U0Ng5wh3x4AaABAg,Good Fellow,3 weeks ago,1511771753681,"Ana




You look like shit",6,false,0,,,,,,,/Negative/Worry/,Negative,0.522,Worry,0.24
UgxfCTW83FkI6DaL84R4AaABAg,DrSher,3 weeks ago,1511771753684,"Otherwise, Ana is right. Don’t feed anyone who deliberately crawls under your skin. Having said all this, it will not be long until any photo sent from a woman to a man will be “scrutinized” by this app and it has the potential to become a very sellable too to fight consumerism.",3,false,0,,,,,,,/Negative/Sadness/,Negative,0.479,Sadness,0.248
