,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/Worry/,Negative,0.398,Worry,0.269
Ugxbrnbve2CCBdaebyZ4AaABAg,Terrence Lockett,13 hours ago,1513579831396,It's too many Americans that find pride in putting money and things ahead of human lives.,0,false,0,,,,,,,/Negative/Worry/,Negative,0.408,Worry,0.237
UgyQvt0nYSW-ls-GXgF4AaABAg,Mr9Guns,4 days ago,1513281031399,The American dream is still technically possible mathematically. It just only works out 0.5% of the time.,1,false,0,,,,,,,/Negative/Worry/,Negative,0.453,Worry,0.23
UgwuCCLwYOVRsTjheXx4AaABAg,funkyflights,1 week ago,1513021831402,"Now they're coming after our retirement .... They won't stop until were old, living in our cars, with no healthcare or social security....",6,true,1,,,,,,,/Negative/Worry/,Negative,0.58,Worry,0.237
,,,,,,,,UgwuCCLwYOVRsTjheXx4AaABAg.8_oOkJbpdVb8a1kbGAeR3f,Clubland Exrcixe,1 week ago,1513021831829,"GOP:  ""do as we say; not as we do""  -- GOP Motto:  America has come a long way in 100 years and we've been against all of it"".",2,/Neutral/Surprise/,Neutral,0.397,Surprise,0.814
UgzkpYarb_7VEwDu5g94AaABAg,Sherron Mitchell,2 weeks ago,1512417031406,Republicans always cut taxes then realize the bills are still there so they borrow the money and create more deficit. But they aren't raising the taxes just the debt then they blame the Democrats.  A method to their madness.,11,false,0,,,,,,,/Negative/Worry/,Negative,0.46,Worry,0.235
Ugw1xX5XSKsjPgVi2sN4AaABAg,Scott Logston,3 weeks ago,1511812231408,"If I spent only 10,000 more a year, ""then what my wife and I make currently - we could live 10 years without working ... on $450,000 a year",2,false,0,,,,,,,/Negative/Worry/,Negative,0.414,Worry,0.27
UgwxJCxAOdfrdfAmwiJ4AaABAg,Ymr Bleav,3 weeks ago,1511812231411,"The Repukes know they will lose in 2018 & 2020. So by trying to pass this bill is their strategy to setup the Dems to fail by having to increase cuts just to pay off the deficit. So America will vote the Repukes back in, which is why they're so hell bent on this!!!",5,true,1,,,,,,,/Negative/Hate/,Negative,0.602,Hate,0.236
,,,,,,,,UgwxJCxAOdfrdfAmwiJ4AaABAg.8_DcbL6dn6o8a-izBAEEHK,The Hypnotoad,1 week ago,1513021831773,Ymr Bleav - the dems will remind America at every turn why their lives are worse and the role the Republicans played in making it so.,0,/Negative/Worry/,Negative,0.407,Worry,0.242
Ugx0URa-epyTF6Ll3Dp4AaABAg,SilentOtto,4 weeks ago,1511207431414,"When it comes to things like assistance for health care, Republicans consider $15,000 a year as rich.  But, when it comes to tax cuts, people making $1,000,000 a year are poverty stricken.",19,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.445,Surprise,0.831
UgysLtD0WrVDTIEl-rV4AaABAg,Samiah Akhtar,4 weeks ago,1511207431416,Wish I had $450K. 😭,6,false,0,,,,,,,/Negative/Worry/,Negative,0.544,Worry,0.243
UgwhfsH00LOGd1FiVFR4AaABAg,Scott Weiss,4 weeks ago,1511207431443,"Dems are probably choosing not to fight the Tax Bill now, because as a disastrous Tax Law it will be a decisive issue for them in 2018, 2020, 2024  etc.",3,true,2,,,,,,,/Negative/Worry/,Negative,0.483,Worry,0.245
,,,,,,,,UgwhfsH00LOGd1FiVFR4AaABAg.8_8iyTiFESE8_DbeSx12PC,Ymr Bleav,3 weeks ago,1511812231844,"Scott Weiss 
Yes it could/will if this bill passes. The Repukes know they're not going to win in 2018 & 2020, so their setting up the dems to fail with this bill. DEMS will get blamed for it and then those Repukes will be back in the WH!!!",1,/Negative/Hate/,Negative,0.55,Hate,0.27
,,,,,,,,UgwhfsH00LOGd1FiVFR4AaABAg.8_8iyTiFESE8_DkLU2xI54,Scott Weiss,3 weeks ago,1511812231846,"Hmmmm. I'm not sure I understand you.  If the Dems do win in 2018, they won't be married to the Tax Law and could legislate their own ""Tax the Rich"" Bills, which, even if they don't pass, would be popular with the public... or am I neglecting something?",0,/Negative/Worry/,Negative,0.576,Worry,0.307
UgwOiG4M2uy2EI1ZQTF4AaABAg,malachite moondance,4 weeks ago,1511207431447,Getting Half a million each year is not considered rich 🤔,1,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.424,Surprise,0.78
UgxqYnQ22Q4Zzem3IOR4AaABAg,Erik Swan,1 month ago,1511034631450,I dont pay as much??? im so madddd,0,false,0,,,,,,,/Negative/Worry/,Negative,0.512,Worry,0.223
Ugxa2pxaRKx3JhywRN14AaABAg,Samuel Caron,1 month ago,1511034631453,What is the bird rule?,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.482,Surprise,0.703
UgzVozVOjZqEW87k8IN4AaABAg,liberty2014,1 month ago,1511034631456,"Even FDR refused to do what modern progressives are doing.  FDR at least created jobs programs for people to go to work doing necessary infrastructure building and repairs... Modern progressives just give away ""welfare"" money, like a drunken sailor, just for votes!  There is NO REASON for 47% of the Country to be getting welfare, with zero strings!",3,true,8,,,,,,,/Negative/Hate/,Negative,0.478,Hate,0.24
,,,,,,,,UgzVozVOjZqEW87k8IN4AaABAg.8_23Qj8slEM8_6_g1hKo9F,Alan G,1 month ago,1511034631946,"The self righteous GOP think that $8 an hour is ok, and that finding a 2 bedroom apartment for less than $1000/month is easy, and that small families can live on $15000 a year.  Walmart pays so little, that families qualify for food stamps, despite working full time.  Over 90% of the government 'welfare' goes to the largest corporations.  The GOP tax bill is welfare for the very richest people who don't work as hard as the people making $15000 a year.",5,/Negative/Worry/,Negative,0.455,Worry,0.223
,,,,,,,,UgzVozVOjZqEW87k8IN4AaABAg.8_23Qj8slEM8_AY1S6gRh3,vidznstuff1,4 weeks ago,1511207431948,"""47% of the Country to be getting welfare, with zero strings!"" Source of this fact please - you've set off my bullshit detector",2,/Negative/Worry/,Negative,0.514,Worry,0.248
,,,,,,,,UgzVozVOjZqEW87k8IN4AaABAg.8_23Qj8slEM8_AZ2JmSSO9,liberty2014,4 weeks ago,1511207431950,"Alan G, if you are 30 years of age, and still making $8/hour... with all the free education, free money for college available, then obviously you made poor choices in life!  

""90% of government welfare goes to largest corporations""... the giant fallacy of the left, is that you honestly think that because a business is not paying as much taxes as YOU LIKE, that they are ""getting welfare""!  That is SOOO illogical!

The rich and the middle class, have EVERY RIGHT to keep AS MUCH OF THEIR MONEY AS THEY CAN, and you have no right to be little thieves, and use power of government and take their money for some sense of self entitled vigilante justice of ""redistribution of wealth"".",1,/Negative/Worry/,Negative,0.598,Worry,0.233
