,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
UgyAeagL5ai_S7-eDCh4AaABAg,bleeP kiss,4 hours ago,1513176637971,you will never understand everything if you are not living in the phillipines,0,false,0,,,,,,,/Negative/,Negative,0.881
UgyMzyG6Avn5oAz9f0d4AaABAg,bleeP kiss,4 hours ago,1513176637973,please stop making our president look bad internatiopnaly.,0,false,0,,,,,,,/Negative/,Negative,0.998
UgwLdiUGwpeUuqbNsFh4AaABAg,bleeP kiss,4 hours ago,1513176637976,he never encourage ejk here in the phil,0,false,0,,,,,,,/Negative/,Negative,0.951
UgzWpXTsLtYE2Z3qo3p4AaABAg,anne rica,1 day ago,1513104637979,hey lady u  should   be  killed too  if u  come  here  i will happy  to  shoot  you too for talking  shit about duterte,1,true,1,,,,,,,/Negative/,Negative,0.668
,,,,,,,,UgzWpXTsLtYE2Z3qo3p4AaABAg.8a4S3sUu1LT8a4fAGPeHP_,MrGraywolfe,1 day ago,1513104638395,anne rica i hope she does die too,1,/Positive/,Positive,0.59
UgxMP4Orum_tBGGZmr14AaABAg,anne rica,1 day ago,1513104637983,ur talking  like u knew   everything  about  duterte  asshole  no such  thing  as ejk here  u ugly bitch,1,false,0,,,,,,,/Negative/,Negative,0.996
UgxGUiScMkT6XWgOhAZ4AaABAg,spicky !!!,1 day ago,1513104637986,less addicts less profit for you know,0,false,0,,,,,,,/Negative/,Negative,0.684
UgzZW0QubZrT-yOOvzB4AaABAg,zzzzzsleeping,3 days ago,1512931837988,Fake news....fook u,0,false,0,,,,,,,/Neutral/,Neutral,0.814
Ugys56hXWnaUyzyQmcV4AaABAg,Goliath Kuznetzov,3 days ago,1512931837992,This video needs to be reported and remove in youtube.,0,true,2,,,,,,,/Negative/,Negative,0.996
,,,,,,,,Ugys56hXWnaUyzyQmcV4AaABAg.8_zYY31rjYl8a1hRmKwk3U,Commander Keen,2 days ago,1513018238475,Goliath Kuznetzov you should be reported and removed for drug use.,0,/Negative/,Negative,0.936
,,,,,,,,Ugys56hXWnaUyzyQmcV4AaABAg.8_zYY31rjYl8a23FTMJOCg,Goliath Kuznetzov,2 days ago,1513018238478,For drug use? really? how do you know? I'm law abiding citizen. I hate drugs and President Duterte hates it too. Hundreds of thousand of people killed? really? Do some research men.,0,/Negative/,Negative,0.684
Ugy8-SyUVNZ3LnM1rkd4AaABAg,Manuel Soto,3 days ago,1512931837995,"Evangelicals like Pat Robertson, Jack van Impe and Billy Graham should be ashamed for  supporting Trump.",0,false,0,,,,,,,/Positive/,Positive,0.553
